Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
270,Srđan Mijailović,MF,Serbia,30,1993,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
271,Georges Mikautadze,FW,Georgia,23,2000,4,4,345,3.8,3,1,4,1,2,2,0,0,0.78,0.26,1.04,0.26,0.52,Matches
272,Nikola Milenković,DF,Serbia,26,1997,3,3,270,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
273,Sergej Milinković-Savić,MF,Serbia,28,1995,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
274,Mario Mitaj,DF,Albania,20,2003,3,3,270,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
275,Aleksandar Mitrović,FW,Serbia,29,1994,3,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
276,Maximilian Mittelstädt,DF,Germany,26,1997,4,3,304,3.4,0,1,1,0,0,0,2,0,0.0,0.3,0.3,0,0.3,Matches
277,Filip Mladenović,MF,Serbia,32,1991,3,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
278,Jan Mlakar,MF,Slovenia,25,1998,4,4,295,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
279,Jakub Moder,MF,Poland,24,1999,3,1,180,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
280,Luka Modrić,MF,Croatia,38,1985,3,3,233,2.6,1,0,1,1,0,1,1,0,0.39,0.0,0.39,0.39,0.39,Matches
281,Vasile Mogos,DF,Romania,31,1992,1,1,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
282,Álvaro Morata,FW,Spain,31,1992,7,6,449,5,1,1,2,1,0,0,2,0,0.2,0.2,0.4,0.2,0.4,Matches
283,Lewis Morgan,"FW,MF",Scotland,27,1996,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
284,Ernest Muçi,"FW,MF",Albania,22,2001,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
285,Mykhailo Mudryk,MF,Ukraine,23,2001,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
286,Mert Müldür,"MF,DF",Türkiye,24,1999,4,4,345,3.8,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26,Matches
287,Thomas Müller,"FW,MF",Germany,34,1989,2,0,58,0.6,0,1,1,0,0,0,0,0,0.0,1.55,1.55,0,1.55,Matches
288,Jamal Musiala,MF,Germany,20,2003,5,5,419,4.7,3,0,3,3,0,0,0,0,0.64,0.0,0.64,0.64,0.64,Matches
289,Phillipp Mwene,DF,Austria,30,1994,3,3,194,2.2,0,1,1,0,0,0,1,0,0.0,0.46,0.46,0,0.46,Matches
290,Vitaliy Mykolenko,DF,Ukraine,24,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
291,Joakim Mæhle,MF,Denmark,26,1997,4,3,283,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,Matches
292,Nacho,DF,Spain,34,1990,4,2,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
293,Ádám Nagy,MF,Hungary,28,1995,3,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
294,Zsolt Nagy,MF,Hungary,30,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
295,Jesús Navas,DF,Spain,38,1985,3,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
296,Dan Ndoye,"MF,FW",Switzerland,23,2000,5,5,407,4.5,1,0,1,1,0,0,1,0,0.22,0.0,0.22,0.22,0.22,Matches
297,Pedro Neto,MF,Portugal,23,2000,3,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
298,Manuel Neuer,GK,Germany,37,1986,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
299,João Neves,MF,Portugal,19,2004,2,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
300,Rúben Neves,MF,Portugal,26,1997,4,0,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
301,Florin Niță,GK,Romania,36,1987,4,4,360,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
302,Matheus Nunes,MF,Portugal,25,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
303,Christian Nørgaard,MF,Denmark,29,1994,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
304,Adam Obert,DF,Slovakia,21,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
305,Jan Oblak,GK,Slovenia,31,1993,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
306,Darius Olaru,"FW,MF",Romania,25,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
307,Dani Olmo,MF,Spain,25,1998,6,3,432,4.8,3,2,5,3,0,0,1,0,0.62,0.42,1.04,0.62,1.04,Matches
308,Amadou Onana,MF,Belgium,22,2001,4,4,360,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
309,Loïs Openda,FW,Belgium,23,2000,3,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
